ژول,فضاپیما,0.367879441,0.43793388,0.5,0.067818161,0.891919156,1.64379213,2.513842011,0.254270208,0.090909091,0.581856605,10,0
سرزمین موعود,باکو,0.535261429,0.605347953,0.869565217,0.110479332,0.958194126,2.517569801,5.47233684,0.54733931,0.166666667,0.84509804,12,2
ماشین,دوچرخه,0.687289279,0.757648601,0.888888889,0.279773159,0.970794058,4.492154435,6.761572769,0.790944255,0.2,0.924279286,14,19
چندوجهی,بازیگر,0.367879441,0.437949923,0.153846154,0.055599752,0.890720515,2.719668728,0,0,0.111111111,0.669006781,0,1
اسکلروز چندگانه,ام‌اس,1,1.132373698,1,20,1,3,20,1,1,2,16,219
گسل,سامانه,0.367879441,0.43793388,0.714285714,0.084866168,0.965033521,2.328698084,3.378797309,0.364470532,0.142857143,0.77815125,10.75,0
سلاح,کلاه‌ ایمنی,0.535261429,0.605396085,0.588235294,0.086361304,0.983400548,3.350358234,3.378797309,0.368525286,0.111111111,0.669006781,10.75,5
نمایشنامه‌نویس,تلویزیون,0.472366553,0.542420992,0.421052632,0.068522423,0.889831599,2.213665511,2.513842011,0.256234111,0.076923077,0.509305938,9.75,0
سازمان ملل متحد,بان‌کی‌مون,0.687289279,0.757391847,0.1,0.05024916,0.970229502,1.730381456,0,0,0.090909091,0.581856605,15,3
سی‌وسه‌پل,پل ریاضی,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
قصر سلطنتی,موزائیک,0.535261429,0.605315868,0.1,0.05027455,0.908048923,2.428793325,0,0,0.090909091,0.581856605,0,0
آبرنگ,قلمو,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
دموکراسی,سلطنت,0.472366553,0.542469121,0.307692308,0.057058641,0.971888748,2.859717505,1.17626407,0.118346204,0.142857143,0.77815125,12,3
گاوس,دانشمند,0.778800783,0.848871265,0.875,0.131084368,0.911736506,2.048470991,4.402894239,0.535812358,0.333333333,1.146128036,14,1
سل,ال‌ای‌دی,0.535261429,0.605363996,0.266666667,0.057857152,0.87807187,2.337918367,1.356096287,0.135635804,0.090909091,0.581856605,10,3
خودروی خودگردان,خودروی روباتیک,1,1.132373698,1,20,1,3,20,1,1,2,16,101
آخرالزمان,آتش,0.472366553,0.542437034,0.5,0.072410404,0.976022003,2.247432196,3.092985145,0.309358215,0.111111111,0.669006781,9.75,1
سرعت,پست,0.472366553,0.542453077,0.555555556,0.078766411,0.98891625,3.328484842,3.246267218,0.338358999,0.125,0.720159303,11.75,2
پلی‌استیشن,وی,0.687289279,0.757712807,0,0,0.91860766,2.795052486,0,0,0.333333333,1.146128036,14,23
لپ‌تاپ,رایانه کیفی,1,1.132373698,1,20,1,3,20,1,1,2,16,119
هری پاتر,جادوگر,0.535261429,0.605347953,0.142857143,0.050009651,0.893551099,1.372921842,0,0,0.125,0.720159303,13,2
اسنوبرد,اسکی,0.535261429,0.605460266,0.941176471,0.165183675,0.979144337,2.641633517,6.918456437,0.695644563,0.25,1.021189299,11.75,9
اشاره‌گر,اسلاید,0.535261429,0.605363996,0.666666667,0.075536998,0.942893723,1.518352827,3.378797309,0.337944948,0.125,0.720159303,11.75,3
حسگر,رادیاتور,0.535261429,0.60533191,0.666666667,0.077398829,0.94842746,2.336045484,3.378797309,0.343414078,0.125,0.720159303,11.75,1
اصابت,قاب,0.367879441,0.437949923,0.153846154,0.050667213,0.951770228,3.079516631,0,0,0.090909091,0.581856605,6.75,1
نظریه,فرضیه,0.535261429,0.605556552,0.875,0.197673877,0.970704989,3.207831032,6.08604719,0.706409528,0.333333333,1.146128036,14,15
وال‌استریت,بازار مالی,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
داروین,تکامل,0.367879441,0.43793388,0.111111111,0.05024916,0.791529819,1.252431226,0,0,0.076923077,0.509305938,11,0
بازیگر,هنرپیشه‌,0.882496903,1.017987107,1,20,1,7,20,1,1,2,16,5507
فیلم,تئاتر,0.535261429,0.605588651,0.8,0.205281112,0.991984467,4.351215505,7.12639057,0.745276585,0.25,1.021189299,14,17
سرود ملی,میهن‌دوستی,0,0.070054439,0.235294118,0.056809175,0.875288692,1.386867121,1.17626407,0.117889782,0.083333333,0.544068044,12,0
نمایشگر,مانیتور,1,1.132373698,1,20,1,6,20,1,1,2,16,156
لبنیات,عسل,0.535261429,0.605363996,0.777777778,0.235277086,0.98367915,2.630184679,7.246534882,0.773236831,0.166666667,0.84509804,12,3
کوه اورست,کومولانگما,1,1.132373698,1,20,1,4,20,1,1,2,16,152
طناب‌کشی,مار و پله,0.535261429,0.60538004,0.518518519,0.203185205,0.983022346,2.855095023,7.537261097,0.753871592,0.2,0.924279286,14,4
آفت‌کش,آفت,0.687289279,0.757375803,0.333333333,0.063268268,0.986831457,3.482381098,1.17626407,0.129557059,0.1,0.62324929,15,2
پليس,سیاستمدار,0.535261429,0.606070331,0.823529412,0.115596842,0.889762692,3.299867272,4.402894239,0.504440544,0.2,0.924279286,11.75,47
نوروسایکولوژی,فراروانشناسی,0.535261429,0.60549236,0.8,0.120337836,0.949190858,2.642639841,5.843101011,0.584422883,0.166666667,0.84509804,14,11
باتری,انرژی,0.687289279,0.75747207,0.285714286,0.065595287,0.9469271,4.027672081,1.356096287,0.151036579,0.111111111,0.669006781,15,8
لژیون دونور,لوازم تحریر,0.367879441,0.43793388,0.142857143,0.053876245,0.936728921,2.037892145,0,0,0.111111111,0.669006781,6,0
مرد عنکبوتی,خیابان,0.472366553,0.542420992,0.125,0.054737775,0.858067059,1.383946617,0,0,0.090909091,0.581856605,0,0
شبه‌جزیره,جزیره,0.535261429,0.608644183,0.666666667,0.078642819,0.98776649,3.673235948,1.998503479,0.239159485,0.2,0.924279286,11.75,207
استوا,اکوادور,0.535261429,0.60533191,0.470588235,0.079908092,0.976612374,1.536488641,3.740881649,0.374160371,0.142857143,0.77815125,11,1
چارت,گراف,0.687289279,0.757760966,0.947368421,0.193902787,0.944486951,2.877574818,7.179671937,0.73575151,0.333333333,1.146128036,0,26
شبیه‌سازی,رباتیک,0.367879441,0.437949923,0.375,0.064963929,0.922086294,2.398612499,2.257985671,0.226829177,0.125,0.720159303,0,1
نایک,آدیداس,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
جامعه,فرهنگ,0.778800783,0.849818524,0.909090909,0.135005246,0.976159968,4.261340701,6.091777864,0.621905858,0.5,1.322219295,15,60
بازی استراتژیکی,استراتژی,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
کلیسا,کلیسای جامع,0.778800783,0.849192208,0.941176471,0.385672117,0.967487266,2.037364069,8.413950091,0.866489576,0.5,1.322219295,15,21
مترجم,خارجی,0.535261429,0.605347953,0.933333333,0.0957083,0.894936192,2.009907117,4.402894239,0.457343701,0.25,1.021189299,0,2
بیوتوپ,بیولوژی,0.687289279,0.757407891,0.111111111,0.054436068,0.961335247,2.614825839,0,0,0.066666667,0.447158031,15,4
ماگما,آتش‌فشان,0.472366553,0.542613531,0.533333333,0.067280734,0.966414617,2.769064546,2.513842011,0.25276455,0.111111111,0.669006781,14,12
طوفان فکری,تلسکوپ,0.367879441,0.437949923,0.166666667,0.050469827,0.902208224,2.217231305,0,0,0.1,0.62324929,0,1
مرحله,امتیاز,0.535261429,0.605363996,0.461538462,0.095140935,0.973378365,3.430798165,4.28874754,0.449360706,0.166666667,0.84509804,12.75,3
پنی,معامله,0.367879441,0.43793388,0.307692308,0.06785415,0.667298573,1.241971633,1.17626407,0.137655082,0.090909091,0.581856605,12,0
حزب سیاسی,انجمن,0.687289279,0.758355222,1,0.169234722,0.978714532,4.557868716,5.260410826,0.640350945,0.333333333,1.146128036,14,63
سونامی,دریا,0.687289279,0.75743998,0.25,0.06057437,0.928253059,2.686390654,1.17626407,0.124728706,0.111111111,0.669006781,15,6
شترمرغ,باغ سیب,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
دارچین,آب‌نبات,0.535261429,0.60533191,0.5,0.111796048,0.987426737,2.729567373,5.322907637,0.543412369,0.142857143,0.77815125,12,1
جارو,خاک,0.535261429,0.605428175,0.6,0.077836359,0.979978584,3.464267473,1.998503479,0.237288925,0.142857143,0.77815125,14,7
کهکشان,منجم,0.367879441,0.438030142,0.153846154,0.054544683,0.962297643,4.387336443,0,0,0.1,0.62324929,13,6
آبمیوه,میلک‌شیک,0.687289279,0.75752021,1,0.211691544,0.945209732,1.732050544,7.467906954,0.759718516,0.333333333,1.146128036,14,11
کرکره,پرده,0.778800783,0.849722129,0.941176471,1.307632541,0.936932114,2.235036773,9.369461536,0.960789889,0.5,1.322219295,9,54
مجرم,خلافکار,0.882496903,0.963503755,1,20,1,4,20,1,1,2,16,681
سرطان لوزالمعده,شیمی‌درمانی,0.472366553,0.542453077,0,0,0.927758575,2.579452199,0,0,0.076923077,0.509305938,14,2
گذشته,پیشین,0.472366553,0.542437034,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
سازمان ملل متحد,پارلمان اروپا,0.535261429,0.605347953,0.117647059,0.05024916,0.958934401,1.772166631,0,0,0.111111111,0.669006781,12.75,2
آهنگ,مجری,0.472366553,0.542453077,0.142857143,0.055008335,0.983234244,3.308397788,0,0,0.111111111,0.669006781,12,2
تفنگ,دفتریادداشت,0.472366553,0.542437034,0.6,0.088684164,0.935951475,2.540407273,4.185931696,0.426096002,0.111111111,0.669006781,0,1
استیل کولین,عنبیه,0.472366553,0.542420992,0.25,0.057857152,0.952730975,2.17144736,1.356096287,0.135635804,0.1,0.62324929,9.75,0
الفبا,خودکار,0.472366553,0.542437034,0.117647059,0.05423583,0.756909862,2.225824721,0,0,0.076923077,0.509305938,11.75,1
گروه کر,خواننده,0.472366553,0.542437034,0.470588235,0.094506363,0.845716882,1.765135512,4.18842733,0.441860279,0.125,0.720159303,14,1
چوب,پتو,0.535261429,0.60533191,0.714285714,0.081594252,0.959607563,2.29471513,3.378797309,0.355412965,0.142857143,0.77815125,0,1
سرباز,صلح,0.472366553,0.542437034,0.476190476,0.075433293,0.940241694,2.907024428,3.246267218,0.3287479,0.125,0.720159303,9.75,1
انگلیسی,آمریکایی,0.535261429,0.60533191,0.222222222,0.058367621,0.928932448,2.313897979,1.17626407,0.120733392,0.071428571,0.477121255,11,1
مارمولک,تمساح,0.687289279,0.758178496,1,0.714736529,0.993470649,2.893439097,9.235930143,0.929589927,0.333333333,1.146128036,14,52
پول,پول نقد,0.687289279,0.757680703,1,0.604978604,0.927770483,3.254410358,8.745307227,0.913655007,0.333333333,1.146128036,14,21
پاولِ هشت‌پا,هشت‌پا,1,1.132373698,1,20,1,3,20,1,1,2,16,160
تقویم,تعطیلات,0.535261429,0.605315868,0.285714286,0.057676012,0.892133447,2.413911357,1.17626407,0.119473717,0.090909091,0.581856605,0,0
باز,ماده شیمیایی,0.535261429,0.605572601,0.857142857,0.221615528,0.98135642,4.557262359,5.751362264,0.718244966,0.333333333,1.146128036,14,16
دولت,مارمولک,0.472366553,0.542453077,0.666666667,0.140953435,0.964736252,3.245020862,5.09873897,0.589721632,0.166666667,0.84509804,10,2
ین,پولشویی,0.367879441,0.437965966,0.285714286,0.056677736,0.788790897,1.863246129,1.17626407,0.117649111,0.090909091,0.581856605,9,2
ديپ‌مایند,گوگل ديپ‌مایند,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
شطرنج,کیش,0.472366553,0.542501209,0.588235294,0.074054294,0.987902289,3.400811682,3.246267218,0.32468938,0.125,0.720159303,15,5
غزل,زیبایی,0.367879441,0.43793388,0.3,0.073379154,0.884420587,2.197969682,3.092985145,0.312204848,0.125,0.720159303,10,0
کارمند,دفتر,0.535261429,0.605540503,0.666666667,0.151173211,0.973052312,3.595502104,4.18842733,0.558763058,0.25,1.021189299,14,14
پول,بورس,0.535261429,0.605540503,0.814814815,0.310859609,0.985503025,3.214715604,7.39733173,0.813967001,0.166666667,0.84509804,14,14
